chic_feature	atac_feature	rna_feature
662177_ENSG00000197321_SVIL	Peak_169488	ENSG00000197321_SVIL
662183_ENSG00000197321_SVIL	Peak_169488	ENSG00000197321_SVIL
662197_ENSG00000197321_SVIL		ENSG00000197321_SVIL
662199_ENSG00000197321_SVIL		ENSG00000197321_SVIL
662226_ENSG00000197321_SVIL	Peak_169490	ENSG00000197321_SVIL
662228_ENSG00000197321_SVIL	Peak_169490	ENSG00000197321_SVIL
662230_ENSG00000197321_SVIL	Peak_169490	ENSG00000197321_SVIL
662233_ENSG00000197321_SVIL	Peak_169490	ENSG00000197321_SVIL
664218_ENSG00000107968_MAP3K8	Peak_169569	ENSG00000107968_MAP3K8
664218_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664235_ENSG00000107968_MAP3K8	Peak_169569	ENSG00000107968_MAP3K8
664235_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664235_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664236_ENSG00000107968_MAP3K8	Peak_169569	ENSG00000107968_MAP3K8
664236_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664236_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664239_ENSG00000107968_MAP3K8	Peak_169569	ENSG00000107968_MAP3K8
664239_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664239_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664241_ENSG00000107968_MAP3K8	Peak_169569	ENSG00000107968_MAP3K8
664241_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664241_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664245_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664245_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664248_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664248_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664249_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664249_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664250_ENSG00000107968_MAP3K8	Peak_169571	ENSG00000107968_MAP3K8
664250_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664256_ENSG00000107968_MAP3K8	Peak_169574	ENSG00000107968_MAP3K8
664275_ENSG00000107968_MAP3K8	Peak_169575	ENSG00000107968_MAP3K8
668784_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668786_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668787_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668788_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668789_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668790_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668791_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668795_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668800_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668802_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668810_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668812_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668815_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668818_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668822_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668827_ENSG00000120616_EPC1	Peak_169780	ENSG00000120616_EPC1
668828_ENSG00000120616_EPC1	Peak_169780	ENSG00000120616_EPC1
668835_ENSG00000120616_EPC1	Peak_169780	ENSG00000120616_EPC1
668836_ENSG00000120616_EPC1	Peak_169780	ENSG00000120616_EPC1
668837_ENSG00000120616_EPC1	Peak_169780	ENSG00000120616_EPC1
668841_ENSG00000120616_EPC1	Peak_169780	ENSG00000120616_EPC1
668847_ENSG00000120616_EPC1	Peak_169780	ENSG00000120616_EPC1
668860_ENSG00000120616_EPC1		ENSG00000120616_EPC1
668867_ENSG00000120616_EPC1		ENSG00000120616_EPC1
671909_ENSG00000099250_NRP1	Peak_169857	ENSG00000099250_NRP1
673150_ENSG00000099250_NRP1	Peak_169892	ENSG00000099250_NRP1
693873_ENSG00000107551_RASSF4	Peak_170207	ENSG00000107551_RASSF4
693874_ENSG00000107551_RASSF4	Peak_170207	ENSG00000107551_RASSF4
693885_ENSG00000107551_RASSF4	Peak_170207	ENSG00000107551_RASSF4
693890_ENSG00000107551_RASSF4	Peak_170207	ENSG00000107551_RASSF4
693894_ENSG00000107551_RASSF4	Peak_170207	ENSG00000107551_RASSF4
693894_ENSG00000107551_RASSF4	Peak_170209	ENSG00000107551_RASSF4
693894_ENSG00000107551_RASSF4	Peak_170210	ENSG00000107551_RASSF4
